Name,SMILES,BSEP,HERG,BBB,PDK1,HIVPRO
50739550,C[C@@]1([C@@](C#N)(O)CC2)[C@@H]2[C@H]3[C@@H](c(ccc(O)c4)c4CC3)CC1,1,,,,
50739718,C[C@@H]([C@@H]1[C@@](C)(CC[C@H]([C@@](C)(CC[C@@H](O)C2)[C@@H]2C[C@H]3O)[C@@H]34)[C@H]4CC1)CCC(=O)O,1,,,,
50775602,C[C@@H]1C(=CC(=O)CC2)[C@@]2(C)[C@@H](CC[C@](C)([C@](C(=O)C)(OC(=O)C)CC3)[C@@H]34)[C@H]4C1,1,,,,
50739717,C[C@@H]1[C@@](C(CO)=O)(O)[C@@](C)(C[C@H](O)[C@](Cl)([C@@](C)(C=CC2=O)C(=C2)CC3)[C@@H]34)[C@H]4C1,1,,,,
50777322,CC#C[C@]1([C@@](C)(C[C@H](c2ccc(N(C)C)cc2)C(=C(CCC3=O)C(=C3)CC4)[C@@H]45)[C@H]5CC1)O,1,,,,
51026620,CC([C@@H]1[C@@](C)(CC[C@H]([C@@](C)(CCC2=O)C(=C2)CC3)[C@@H]34)[C@H]4CC1)=O,1,,,,
50375441,CC(N1CCN(c2ccc(OC[C@@H]3O[C@](c4c(Cl)cc(Cl)cc4)(Cn5cncc5)OC3)cc2)CC1)=O,1,,,,
50774968,CC(O[C@@]1(C(=O)C)[C@@](C)(CC[C@H]([C@@](C)(CCC2=O)C(=C2)C(C)=C3)[C@@H]34)[C@H]4CC1)=O,1,,,,
50739204,CC(O[C@H]1C(=O)[C@](C)([C@@H](O)C[C@@H](OC2)[C@@]23OC(=O)C)[C@@H]3[C@H](OC(c4ccccc4)=O)[C@](O)(C[C@@H]5OC([C@@H]([C@H](c6ccccc6)NC(c7ccccc7)=O)O)=O)C(C)(C)C1=C5C)=O,1,,,,
50739098,CC(NC([C@H]1N(C[C@H](C[C@H](C(N[C@H]2c(cccc3)c3C[C@H]2O)=O)Cc4ccccc4)O)CCN(Cc5cnccc5)C1)=O)(C)C,1,,,,
50774875,CC([C@H]1C(=O)O[C@H](C(C)C)C(=O)N[C@H](C(C)C)C(=O)O[C@@H](C)C(=O)N[C@@H](C(C)C)C(=O)O[C@H](C(C)C)C(=O)N[C@H](C(C)C)C(=O)O[C@@H](C)C(=O)N[C@@H](C(C)C)C(=O)O[C@H](C(C)C)C(=O)N[C@H](C(C)C)C(=O)O[C@@H](C)C(=O)N1)C,1,,,,
317677,CC([C@H]1C(=O)N[C@@H](Cc2cc(F)cc(O)c2)C(=O)N(CCC3)NC3C(=O)O[C@H](\C(=C\C=C\C(N4OCCCC4)=O)\C)C\C=C\C=C\[C@H](O)[C@H](C)[C@@H](O)[C@@H](CCC(=O)C)C(=O)N1)C,1,,,,
50739101,CC([C@@H](C(N[C@@H](Cc1ccccc1)C[C@@H]([C@@H](NC(COc2c(C)cccc2C)=O)Cc3ccccc3)O)=O)N4C(=O)NCCC4)C,1,,,,
50774871,CC([C@@H](C(N[C@@H](Cc1ccccc1)C[C@@H]([C@@H](NC(OCc2scnc2)=O)Cc3ccccc3)O)=O)NC(N(Cc4nc(C(C)C)sc4)C)=O)C,1,,,,
50739209,CC(\N=C(\C(Nc1ccc(Cl)cc1)=C2)/C=C3C2=Nc(cccc4)c4N3c5ccc(Cl)cc5)C,1,,,,
